id	summary
31000158119	Explains the interior-orientation and lens-distortion parameters (f, cx, cy, b1–b2, k1–k4, p1–p2) reported on the Camera Calibration dialog's Adjusted tab, and how to judge whether an estimated calibration is sound — flagging implausibly large cx/cy or b1/b2 values and suggesting a re-align with those parameters fixed. It then walks through the Distortion Plot's Distortion, Profile and Correlation tabs, including how the residuals graph (averaged reprojection errors) differs from the distortion-vector plot and what the parameter correlation/covariance values mean.
31000160059	A step-by-step procedure for automatic lens calibration against Metashape's on-screen (or a flat printed) chessboard target: capturing at least three pattern photos per focal length, loading them into a chunk, and running Tools > Camera > Calibrate Lens, then checking the detected corners and reprojection errors. It also shows how to save the adjusted calibration and reuse it as fixed initial parameters on a real close-range dataset — noting that aerial work should instead be calibrated on a GCP reference site.
31000168141	Describes exporting geometrically corrected, distortion-free images via File > Export > Convert Images with the Transform to initial calibration option (which removes distortion, centers the principal point and squares pixels). For Metashape 1.8.1 and later it stresses that the Initial-tab focal length and pixel size drive the result, and explains how to recover a correct export when EXIF/calibration data is missing — by copying the focal length from the Adjusted tab (Precalibrated) or entering focal length and pixel size manually.
31000156964	A reference page that links each Metashape processing stage to the published algorithm behind it — Structure-from-Motion with bundle adjustment for Align Photos, Axelsson's adaptive-TIN and a deep-learning classifier for point classification, TGV-fusion and PatchMatch surface-normal diffusion for DEM and depth maps, global-TGV mesh reconstruction and multi-view refine, MicaSense's tutorial for multispectral, and Semi-Global Matching for stereo.
31000172034	Release notes for Metashape 2.1, centred on terrestrial laser-scan alignment (the Align Laser Scans dialog with its accuracy, key-point-limit and vertical-axis options) and block-model building for large projects. It also adds Build Texture parameters (pixel size, skip textured blocks), new Measure Profile tools, the Matching Graph view of tie-point connectivity between cameras, and a Max terrain slope parameter for ground-point classification.
31000173952	Detailed release notes for the Metashape 2.2.x series (2.2.0 through 2.2.2). Highlights include aerial-LiDAR boresight calibration and accuracy comparison, AprilTag coded targets, pansharpening, AI background masking, multiple mask layers, embedding geoids in the project, restart-after-power-failure, separate GNSS/INS offset adjustment, grouping images by flight line with new tie-point filters, the renamed Clean Tie Points (formerly Gradual Selection) tool, orthomosaic fill/merge editing, and network-processing changes (the new metashape-server and removal of the failover server).
31000155753	A Russian-language pointer page directing Russian-speaking users to tutorial materials on an Agisoft partner's site, covering capture planning, DEM/DTM and orthophoto creation (including editing), panoramas, satellite and multispectral processing, 3D model building, scaling and texturing, and working with coordinate systems and geoids.
31000177202	Release notes for the Metashape 2.3.x series. The headline is a new Natural texture-blending algorithm (with a per-image texture editing tool and automatic color enhancement), plus Equidistant/Equisolid fisheye camera models and configurable camera axes, several LiDAR additions (GNSS bias support, aligning images to a LiDAR cloud via Match depth maps, swath-separation reporting, selecting and colorizing points by height above ground), and parallel multi-asset/multi-chunk network processing. It notes that Agisoft Cloud still ran 2.2.3 at the time of writing.
31000177705	A how-to for the texture editing tool that accompanies Metashape 2.3's Natural texturing: selecting a model area and using Assign image from the context menu to swap in a specific photo, useful for fixing small artifacts such as foliage occluding a building. It covers previewing the change (Build preview texture), rebuilding with the edits applied (Use assigned images), and inspecting results by coloring the model by assigned image or opening the assigned image for an area.
31000167860	A tutorial on using Batch Process to run the same workflow across many chunks in one project (the example runs Align Photos, Build Mesh and Build Texture over several close-range datasets). It explains adding jobs and choosing whether to apply them to all, unprocessed, or selected chunks, reading the Processed/Failed columns, saving and reloading the job list as XML, and using path templates like {chunklabel} so per-chunk exports don't overwrite each other.
31000167872	A tutorial on building a 'one-button' batch workflow, using an aerial project as the example. It walks through adding jobs from the Batch Process dialog, the three Job Type groups (General Workflow, Import/Export, Miscellaneous) with a full table of available steps, how the Add Job dialog shows every possible parameter (so some do not apply — e.g. key-point limit only matters with guided matching), reordering and editing jobs, and saving/loading the task list as XML. It warns to re-check parameters after upgrading Metashape.
31000159101	A workflow (for Metashape 1.7–1.8; a separate article covers 2.x) for co-processing terrestrial laser scans with photographs. It explains importing E57/PTX scans, which Metashape converts to TIFF and treats as spherical-panorama cameras for co-registration, adding overlapping handheld and aerial imagery to tie interior and exterior together, running Align Photos to register images and scans in one bundle adjustment, then building the mesh from depth maps — plus a script-based route to apply scan georeferencing when the photos have no coordinates.
31000168474	The Metashape 2.x workflow for terrestrial laser scans, now imported via Import Point Cloud with the Use as laser scans option. It covers importing a trajectory first, the import parameters (coordinate system, scanner position, normal-estimation neighbors), point-cloud bounding boxes, grouping scans (new/fixed groups and the Lock Transform behavior), aligning scans to each other and jointly with images (in the same or different coordinate systems, georeferenced via image coordinates or markers), and finally building the mesh from Laser Scans or Laser Scans + Depth maps and texturing with the built-in panoramas.
31000169030	The workflow for unstructured aerial LiDAR (Metashape Professional 2.0 and later): importing the trajectory before the point cloud, importing the cloud with Use as laser scans, and the parameters governing point normals. It then covers trajectory masking (manual selection and automatic masking by heading-angle, duration and distance thresholds), point-cloud noise smoothing, aerial-LiDAR boresight calibration (enabling Adjust rotation in Lidar Calibration and aligning with Use initial orientation/Reuse local frame), handling several lidars on one trajectory or a single combined cloud, and the Difference View for assessing overlap accuracy.
31000145918	A worked example of setting up distributed network processing, defining the client, worker, server and shared-storage roles. It gives the commands to launch metashape-server and worker nodes (including the 2.2.0+ --resume-workers, --root and headless -platform offscreen options), how to connect the Agisoft Network Monitor, and how to configure the client's Network preferences (server host, port 5840, shared root, Fine Level Task Distribution) before submitting a batch over the network — with per-OS command variants for Linux, Windows and macOS.
31000145919	Clarifies that distributed network processing is a Metashape Professional-only feature: a Standard Edition instance cannot act as the network server or a processing node, and cannot even submit a job to the network server.
31000153729	The workflow for processing stereo and tri-stereo satellite imagery (e.g. Pléiades, WorldView, Ikonos) that ships with rational polynomial coefficients. It covers enabling 'Load satellite RPC data from auxiliary TXT files' (RPCs come from rpc.txt/.rpb/DIMAP .xml or the TIFF RPC tag), combining tiled DIMAP images with GDAL beforehand, adding the images and confirming the camera type is set to RPC, then aligning, building a DEM, and generating a model and tiled model from it.
31000159531	How to process scanned analog aerial photographs, where calibration is driven by fiducial marks. It covers loading scans into calibration groups, enabling 'Film camera with fiducial marks', the Detect Fiducials tool (Generic, Right angle, 45-degree cut and Frame types) and manual fiducial placement against the camera certificate's millimeter coordinates (or Calibrate Fiducials when no certificate exists), choosing the Conformal/Affine/Projective transformation type (2.0+), and masking the scanned margins to stabilize processing.
31000162212	How to bring RGB-D imagery from depth-sensor cameras (Apple TrueDepth front cameras, Google Camera portrait mode) into a project — noting that most consumer depth data is uncalibrated and unsuitable, and that valid depth must be in real units in the XMP metadata. It distinguishes the two storage cases: depth embedded as an image attribute (File > Import > Import Depth Images) versus depth saved as a separate file (a Python importDepthImages/importLaserScans script), then building the mesh with Source data set to Depth maps.
31000148332	How to make Reference-pane heights refer to a geoid rather than the ellipsoid by building a compound coordinate system. It covers the case where a compatible geoid GeoTIFF can be downloaded from Agisoft's site (dropped in the geoids folder, then the horizontal CS edited to add the vertical datum), and the case of a custom undulation-grid file, added as a Custom vertical datum from one of the supported grid formats.
31000151182	Explains when Metashape can transform between two coordinate systems (same datum, or both having ToWGS84 parameters) and how to supply those parameters. It describes the Datum Transformation Settings dialog (reachable from Reference-pane settings or Convert Reference) for picking an EPSG transformation or entering custom parameters, and the alternative of loading a PRJ file whose DATUM section contains a TOWGS84 sub-section.
31000155544	Notes that the installer ships only the EGM96 geoid and that other geoids must be downloaded from Agisoft's site and copied to the geoids folder before the matching coordinate system can be used (geoids are Professional-only). It points to the height-above-geoid article for building compound systems and lists the supported undulation-grid/datum file formats (ASCII Grid, AUSGeoid .dat/.txt, NGS .bin, .byn, Trimble .ggf, .gsf, ISG, French .mnt, Sideris, lat/lon/alt tables, and GeoTIFF).
31000161533	A step-by-step recipe for converting a geoid undulation grid (GeoTIFF) from one datum to another — the example moves AUSGeoid09 from GDA94 to GDA2020. It imports the geoid as a DEM, uses Transform DEM (into a geographic system, with the correct ToWGS84 parameters and optional clipping) to create a new DEM instance, exports the transformed GeoTIFF, then builds a compound coordinate system that references the new geoid as a custom vertical datum.
